number,companyName,adress,adressBystreet,dateOflicensing,stateOfbusiness,dateOfclosure,startdateOfcessation,duedateOfcessation,dateOfreOpen,areaOfsite,zip,waterwork,numOfmenWorker,yearOfStart,multipleUse,grade,sizeOfsite,numOfwomenWorker,vicintyOfsite,sanitaryName,businessCondition,totalOfworker
44265,플라이 (Fly),서울특별시 강남구 역삼동 769-1번지 ,"서울특별시 강남구 역삼로 204, 1층 101(좌측일부)호 (역삼동, 삼환아르누보)",20141031,폐업 등,20150129,,,,,,,,2014,N,,10.89,,,휴게음식점,커피숍,
44266,플라잉라운지,서울특별시 용산구 청파동1가 154-15번지 ,"서울특별시 용산구 청파로 326, 1층 (청파동1가)",20140612,운영중,,,,,,,상수도전용,,2014,N,,49.5,,기타,휴게음식점,커피숍,
44267,플라잉브러쉬,부산광역시 기장군 정관면 용수리 1288-7번지 1층 ,"부산광역시 기장군 정관면 가동1길 9, 1층",20120710,폐업 등,20130612,,,,,,상수도전용,,2012,N,,95.1,,,휴게음식점,커피숍,
44268,플라쯔커피숍,전라북도 익산시 창인동1가 19번지 ,,19930622,폐업 등,20000622,,,,,,상수도전용,0,1993,N,,105,0,결혼예식장주변,휴게음식점,커피숍,0
44269,플라쳇,서울특별시 구로구 고척동 164-72번지 ,,20101019,폐업 등,20130604,,,,,,상수도전용,,2010,N,,33,,,휴게음식점,커피숍,
44270,플라타너스,경기도 수원시 팔달구 매교동 161번지 매교상가 160호,"경기도 수원시 팔달구 정조로 651, 160호 (매교동, 매교상가)",20120208,폐업 등,20120402,,,,,,,,2012,N,,9.9,,,휴게음식점,커피숍,
44271,플라타너스,서울특별시 서초구 서초동 1538-1번지 101호 ,"서울특별시 서초구 서초대로40길 77 (서초동,101호)",20110217,운영중,,,,,,,,,2011,N,,34.48,,,휴게음식점,커피숍,
44272,플라타너스 휴(休),경기도 의정부시 용현동 60-2번지 용현빌딩 지상1층 ,"경기도 의정부시 오목로14번길 16 (용현동,용현빌딩 지상1층)",20100226,폐업 등,20121029,,,,,,상수도전용,,2010,N,,26.9,,,휴게음식점,커피숍,
44273,플라페,서울특별시 양천구 신월동 83-6번지 1층 102호 ,"서울특별시 양천구 가로공원로 155 (신월동, 1층 102호)",20110316,운영중,,,,,,,,,2011,N,,49.53,,,휴게음식점,커피숍,
44274,플란다스,인천광역시 연수구 동춘동 933-10번지 지상3층 ,"인천광역시 연수구 앵고개로246번길 39-6, 지상3층 (동춘동)",20140402,운영중,,,,,,,상수도전용,,2014,N,,200.72,,,휴게음식점,커피숍,
44275,플란다스개,"서울특별시 강동구 암사동 447-7번지 2,3 ","서울특별시 강동구 고덕로 89, 2,3층 (암사동)",20140924,운영중,,,,,,,,,2014,N,,330.13,,,휴게음식점,커피숍,
44276,플랑,서울특별시 강동구 상일동 483번지 ,"서울특별시 강동구 상일로 60 (강일동, 강동유소년스포츠센터 2층)",20150107,운영중,,,,,,,,,2015,N,,89.03,,,휴게음식점,커피숍,
44277,플랑,경기도 화성시 우정읍 조암리 276번지 외3필지 환희프라자 A동 ,경기도 화성시 우정읍 3.1만세로 59 (환희프라자A동),20130607,운영중,,,,,,,상수도전용,,2013,N,,110,,,휴게음식점,커피숍,
44278,플래너스커피,"인천광역시 계양구 계산동 1062번지 하이베라스 A동 107,108호","인천광역시 계양구 계산새로 71, A동 1층 107,108호 (계산동, 하이베라스)",20071224,운영중,,,,,,,상수도전용,,2007,N,,70.46,,기타,휴게음식점,커피숍,
44279,플래닛 비전,서울특별시 동대문구 휘경동 293-62번지 1층 ,"서울특별시 동대문구 망우로14가길 29-34, 1층 (휘경동)",20101227,폐업 등,20140423,,,,,,,,2010,N,,83.58,,,휴게음식점,커피숍,
44280,플래닛(flanet),서울특별시 마포구 서교동 395-138번지 1층일부 ,"서울특별시 마포구 양화로12길 8-5 (서교동, 1층일부)",20141219,폐업 등,20150212,,,,,,,,2014,N,,60,,,휴게음식점,커피숍,
44281,플래잉커피,전라북도 전주시 덕진구 덕진동1가 1314-170번지 ,전라북도 전주시 덕진구 명륜4길 20 (덕진동1가),20150213,운영중,,,,,,,상수도전용,,2015,N,,48.68,,,휴게음식점,커피숍,
44282,플랜비(b),대구광역시 북구 동천동 920-8번지 (1층) ,"대구광역시 북구 대천로17길 18, 1층 (동천동)",20121228,폐업 등,20140227,,,,,,상수도전용,,2012,N,,90.4,1,주택가주변,휴게음식점,커피숍,
44283,플랜비커피,세종특별자치시 조치원읍 침산리 264-2번지 1층 ,"세종특별자치시 조치원읍 행복3길 13, 1층",20130429,운영중,,,,,,,상수도전용,,2013,N,,136.19,,,휴게음식점,커피숍,
44284,플랜트리(plan tree),인천광역시 남동구 구월동 1153-7번지 101호 ,"인천광역시 남동구 남동대로733번길 17, 101호 (구월동)",20140402,폐업 등,20150202,,,,,,,,2014,N,,259.69,,,휴게음식점,커피숍,
44285,플랜트스쿨,경기도 성남시 분당구 판교동 605-2번지 카리 & 카리아트 1층 ,"경기도 성남시 분당구 운중로225번길 66 (판교동, 카리 & 카리아트 1층)",20141021,운영중,,,,,,,상수도전용,,2014,N,,45.9,,주택가주변,휴게음식점,커피숍,
44286,플랩잭팬트리,제주특별자치도 제주시 아라일동 6122번지 ,"제주특별자치도 제주시 인다10길 42, 1층 (아라일동)",20130418,운영중,,,,,,,,,2013,N,,163.04,,,휴게음식점,커피숍,
